Date,Rain
1/1/2000 0:00,1.64
2/1/2000 0:00,1
3/1/2000 0:00,0.96
4/1/2000 0:00,3.64
5/1/2000 0:00,7.16
6/1/2000 0:00,2.48
7/1/2000 0:00,0.56
8/1/2000 0:00,0.32
9/1/2000 0:00,2.79
10/1/2000 0:00,3.72
11/1/2000 0:00,12.16
12/1/2000 0:00,2.48
1/1/2001 0:00,5.48
2/1/2001 0:00,0.76
3/1/2001 0:00,7.95
4/1/2001 0:00,2.12
5/1/2001 0:00,3.32
6/1/2001 0:00,20.78
7/1/2001 0:00,1.12
8/1/2001 0:00,6.76
9/1/2001 0:00,2.87
10/1/2001 0:00,6.68
11/1/2001 0:00,1.76
12/1/2001 0:00,6.48
1/1/2002 0:00,0.84
2/1/2002 0:00,0.72
3/1/2002 0:00,2.6
4/1/2002 0:00,3.56
5/1/2002 0:00,1.75
6/1/2002 0:00,3.55
7/1/2002 0:00,5.68
8/1/2002 0:00,0.99
9/1/2002 0:00,4.52
10/1/2002 0:00,13.88
11/1/2002 0:00,5.64
12/1/2002 0:00,6.32
1/1/2003 0:00,2.16
2/1/2003 0:00,4
3/1/2003 0:00,1.44
4/1/2003 0:00,2.16
5/1/2003 0:00,0
6/1/2003 0:00,3.64
7/1/2003 0:00,8.88
8/1/2003 0:00,4.92
9/1/2003 0:00,8.16
10/1/2003 0:00,6.48
11/1/2003 0:00,9.32
12/1/2003 0:00,0
1/1/2004 0:00,6.88
2/1/2004 0:00,4.6
3/1/2004 0:00,1.8
4/1/2004 0:00,5.24
5/1/2004 0:00,7.36
6/1/2004 0:00,10.76
7/1/2004 0:00,4.44
8/1/2004 0:00,2
9/1/2004 0:00,1.4
10/1/2004 0:00,1.98
11/1/2004 0:00,15.25
12/1/2004 0:00,1.68
1/1/2005 0:00,3.96
2/1/2005 0:00,7.56
3/1/2005 0:00,3.72
4/1/2005 0:00,1.56
5/1/2005 0:00,3
6/1/2005 0:00,0.08
7/1/2005 0:00,12.88
8/1/2005 0:00,2.4
9/1/2005 0:00,2.2
10/1/2005 0:00,1.84
11/1/2005 0:00,1.89
12/1/2005 0:00,6.72
1/1/2006 0:00,2.6
2/1/2006 0:00,2.64
3/1/2006 0:00,2.36
4/1/2006 0:00,2.88
5/1/2006 0:00,9.44
6/1/2006 0:00,10.11
7/1/2006 0:00,10.68
8/1/2006 0:00,2.28
9/1/2006 0:00,2.76
10/1/2006 0:00,14.52
11/1/2006 0:00,1.88
12/1/2006 0:00,3.48
1/1/2007 0:00,6.64
2/1/2007 0:00,1.12
3/1/2007 0:00,7.6
4/1/2007 0:00,4.91
5/1/2007 0:00,8.6
6/1/2007 0:00,8.16
7/1/2007 0:00,8.44
8/1/2007 0:00,6.08
9/1/2007 0:00,3.92
10/1/2007 0:00,7.56
11/1/2007 0:00,5.32
12/1/2007 0:00,1.72
1/1/2008 0:00,4.64
2/1/2008 0:00,4.12
3/1/2008 0:00,2.76
4/1/2008 0:00,3.48
5/1/2008 0:00,5.6
6/1/2008 0:00,4.31
7/1/2008 0:00,1.04
8/1/2008 0:00,8.01
9/1/2008 0:00,14.49
10/1/2008 0:00,2.48
11/1/2008 0:00,0
12/1/2008 0:00,1.2
1/1/2009 0:00,0.48
2/1/2009 0:00,1.12
3/1/2009 0:00,3.84
4/1/2009 0:00,12.59
5/1/2009 0:00,1.08
6/1/2009 0:00,0
7/1/2009 0:00,5.04
8/1/2009 0:00,1.68
9/1/2009 0:00,0
10/1/2009 0:00,16.84
11/1/2009 0:00,1.56
12/1/2009 0:00,6.28
1/1/2010 0:00,2.01
2/1/2010 0:00,4.02
3/1/2010 0:00,3.12
4/1/2010 0:00,3.11
5/1/2010 0:00,2.95
6/1/2010 0:00,2.73
7/1/2010 0:00,11.58
8/1/2010 0:00,2.24
9/1/2010 0:00,7.97
10/1/2010 0:00,0.15
11/1/2010 0:00,1.22
12/1/2010 0:00,1.41
1/1/2011 0:00,0.52
2/1/2011 0:00,0.52
3/1/2011 0:00,1.16
4/1/2011 0:00,0.08
5/1/2011 0:00,0.44
6/1/2011 0:00,0.28
7/1/2011 0:00,1.76
8/1/2011 0:00,0.12
9/1/2011 0:00,2.36
10/1/2011 0:00,2.68
11/1/2011 0:00,2.44
12/1/2011 0:00,4.08
1/1/2012 0:00,5.08
2/1/2012 0:00,6.32
3/1/2012 0:00,5.28
4/1/2012 0:00,2.76
5/1/2012 0:00,1.12
6/1/2012 0:00,5.24
7/1/2012 0:00,6.52
8/1/2012 0:00,3.32
9/1/2012 0:00,2.04
10/1/2012 0:00,0.44
11/1/2012 0:00,0.44
12/1/2012 0:00,2.36
1/1/2013 0:00,4.2
2/1/2013 0:00,1.88
3/1/2013 0:00,0.84
4/1/2013 0:00,2.4
5/1/2013 0:00,0.72
6/1/2013 0:00,2.64
7/1/2013 0:00,4.12
