Date,Sagemont,Bammel,Highland,Braeburn,Event
1/1/00 0:00,2.08,1.64,1.4,1.99,
2/1/00 0:00,1.48,1,2.6,1.36,
3/1/00 0:00,1.47,0.96,2.68,1.51,
4/1/00 0:00,4.88,3.64,6,4.59,
5/1/00 0:00,5.15,7.16,9.72,5.41,
6/1/00 0:00,3.35,2.48,3.03,3.14,
7/1/00 0:00,3.24,0.56,1.6,2.19,
8/1/00 0:00,3.4,0.32,1.4,0.68,
9/1/00 0:00,4.36,2.79,6.08,1.79,
10/1/00 0:00,5.2,3.72,3.92,3.39,
11/1/00 0:00,10.08,12.16,5.12,13.25,
12/1/00 0:00,1.8,2.48,3.28,1.88,
1/1/01 0:00,3.28,5.48,5.04,3.91,
2/1/01 0:00,0.48,0.76,0.52,0.2,
3/1/01 0:00,5.72,7.95,9.72,6.46,
4/1/01 0:00,1.44,2.12,2.08,1.96,
5/1/01 0:00,1.64,3.32,3.04,3.12,
6/1/01 0:00,18.62,20.78,16.35,11.88,Allison #2
7/1/01 0:00,3.36,1.12,2.44,2.69,
8/1/01 0:00,10.96,6.76,6.72,6.35,
9/1/01 0:00,5.04,2.87,3,4.11,
10/1/01 0:00,4.4,6.68,5.71,5.4,
11/1/01 0:00,3.75,1.76,7,2.28,
12/1/01 0:00,5.6,6.48,6.36,5.69,
1/1/02 0:00,2.16,0.84,2.16,1.04,
2/1/02 0:00,0.72,0.72,1.8,0.96,
3/1/02 0:00,3.31,2.6,3.64,1.64,
4/1/02 0:00,4.68,3.56,4.48,3.71,
5/1/02 0:00,5.19,1.75,5.68,1.32,
6/1/02 0:00,6.48,3.55,3.64,4.44,
7/1/02 0:00,8,5.68,7.12,7.8,
8/1/02 0:00,10.73,0.99,9.8,8.27,
9/1/02 0:00,4.31,4.52,11.6,5.76,
10/1/02 0:00,14.76,13.88,9.24,8.51,
11/1/02 0:00,3.63,5.64,3,3.8,
12/1/02 0:00,6.76,6.32,7.59,3.84,
1/1/03 0:00,1.44,2.16,2.4,1.64,
2/1/03 0:00,3.28,4,6.16,3.2,
3/1/03 0:00,1.44,1.44,2.24,1,
4/1/03 0:00,1.04,2.16,0.8,0.96,
5/1/03 0:00,0,0,0,0,
6/1/03 0:00,7.56,3.64,3.52,5.04,
7/1/03 0:00,3.32,8.88,4.64,5.28,
8/1/03 0:00,7.99,4.92,7.76,5.68,
9/1/03 0:00,8.04,8.16,7.44,4.8,
10/1/03 0:00,4.76,6.48,1.72,5.51,
11/1/03 0:00,5.64,9.32,4.79,6.75,
12/1/03 0:00,0,0,0,0,
1/1/04 0:00,4.84,6.88,3.8,5,
2/1/04 0:00,6.88,4.6,1.56,3.52,
3/1/04 0:00,1.08,1.8,0.8,1.64,
4/1/04 0:00,3.88,5.24,5.48,3.68,
5/1/04 0:00,7.76,7.36,8.39,6.36,
6/1/04 0:00,7.52,10.76,15.88,10.28,
7/1/04 0:00,4.36,4.44,3.36,1.64,
8/1/04 0:00,3.48,2,2.96,3.24,
9/1/04 0:00,0.8,1.4,0.6,0.52,
10/1/04 0:00,3.88,1.98,2.08,4.24,
11/1/04 0:00,13.48,15.25,16.91,11.48,
12/1/04 0:00,2.52,1.68,2.68,1.84,
1/1/05 0:00,2.28,3.96,0.28,2.44,
2/1/05 0:00,3.88,7.56,0,1.63,
3/1/05 0:00,3.48,3.72,1.88,0.72,
4/1/05 0:00,0.96,1.56,0.44,3.36,
5/1/05 0:00,2.6,3,3.24,2.92,
6/1/05 0:00,0.52,0.08,0.16,2.64,
7/1/05 0:00,7.6,12.88,3.96,6.28,
8/1/05 0:00,2.12,2.4,1.04,0.84,
9/1/05 0:00,3.28,2.2,0.4,1.8,
10/1/05 0:00,1.64,1.84,0.2,9.74,
11/1/05 0:00,3.32,1.89,0.2,1.2,
12/1/05 0:00,2.76,6.72,0,2.04,
1/1/06 0:00,2.28,2.6,2.44,2.44,
2/1/06 0:00,1.72,2.64,2.32,2.32,
3/1/06 0:00,1.27,2.36,2.12,2.12,
4/1/06 0:00,1.08,2.88,3.6,3.6,
5/1/06 0:00,9.04,9.44,6.16,6.16,
6/1/06 0:00,11.28,10.11,10.24,10.24,
7/1/06 0:00,11.84,10.68,12.56,12.56,
8/1/06 0:00,4.04,2.28,2.92,2.92,
9/1/06 0:00,3.44,2.76,2.72,2.72,
10/1/06 0:00,16.99,14.52,17.04,17.04,
11/1/06 0:00,0.88,1.88,0.68,0.68,
12/1/06 0:00,2.6,3.48,5.84,5.84,
1/1/07 0:00,6.19,6.64,6.24,5.8,
2/1/07 0:00,0.92,1.12,1.76,0.92,
3/1/07 0:00,7.76,7.6,6.68,5.59,
4/1/07 0:00,2.89,4.91,4.2,4.4,
