Date,Rain
1/1/2000 0:00,1.4
2/1/2000 0:00,2.6
3/1/2000 0:00,2.68
4/1/2000 0:00,6
5/1/2000 0:00,9.72
6/1/2000 0:00,3.03
7/1/2000 0:00,1.6
8/1/2000 0:00,1.4
9/1/2000 0:00,6.08
10/1/2000 0:00,3.92
11/1/2000 0:00,5.12
12/1/2000 0:00,3.28
1/1/2001 2:00,5.04
2/1/2001 2:00,0.52
3/1/2001 2:00,9.72
4/1/2001 2:00,2.08
5/1/2001 2:00,3.04
6/1/2001 2:00,16.35
7/1/2001 2:00,2.44
8/1/2001 2:00,6.72
9/1/2001 2:00,3
10/1/2001 2:00,5.71
11/1/2001 2:00,7
12/1/2001 2:00,6.36
1/1/2002 0:00,2.16
2/1/2002 0:00,1.8
3/1/2002 0:00,3.64
4/1/2002 0:00,4.48
5/1/2002 0:00,5.68
6/1/2002 0:00,3.64
7/1/2002 0:00,7.12
8/1/2002 0:00,9.8
9/1/2002 0:00,11.6
10/1/2002 0:00,9.24
11/1/2002 0:00,3
12/1/2002 0:00,7.59
1/1/2003 0:00,2.4
2/1/2003 0:00,6.16
3/1/2003 0:00,2.24
4/1/2003 0:00,0.8
5/1/2003 0:00,0
6/1/2003 0:00,3.52
7/1/2003 0:00,4.64
8/1/2003 0:00,7.76
9/1/2003 0:00,7.44
10/1/2003 0:00,1.72
11/1/2003 0:00,4.79
12/1/2003 0:00,0
1/1/2004 0:00,3.8
2/1/2004 0:00,1.56
3/1/2004 0:00,0.8
4/1/2004 0:00,5.48
5/1/2004 0:00,8.39
6/1/2004 0:00,15.88
7/1/2004 0:00,3.36
8/1/2004 0:00,2.96
9/1/2004 0:00,0.6
10/1/2004 0:00,2.08
11/1/2004 0:00,16.91
12/1/2004 0:00,2.68
1/1/2005 0:00,0.28
2/1/2005 0:00,0
3/1/2005 0:00,1.88
4/1/2005 0:00,0.44
5/1/2005 0:00,3.24
6/1/2005 0:00,0.16
7/1/2005 0:00,3.96
8/1/2005 0:00,1.04
9/1/2005 0:00,0.4
10/1/2005 0:00,0.2
11/1/2005 0:00,0.2
12/1/2005 0:00,0
1/1/2006 0:00,2.44
2/1/2006 0:00,2.32
3/1/2006 0:00,2.12
4/1/2006 0:00,3.6
5/1/2006 0:00,6.16
6/1/2006 0:00,10.24
7/1/2006 0:00,12.56
8/1/2006 0:00,2.92
9/1/2006 0:00,2.72
10/1/2006 0:00,17.04
11/1/2006 0:00,0.68
12/1/2006 0:00,5.84
1/1/2007 0:00,6.24
2/1/2007 0:00,1.76
3/1/2007 0:00,6.68
4/1/2007 0:00,4.2
5/1/2007 0:00,6.72
6/1/2007 0:00,9.24
7/1/2007 0:00,14.76
8/1/2007 0:00,8.2
9/1/2007 0:00,6.92
10/1/2007 0:00,1.4
11/1/2007 0:00,3.12
12/1/2007 0:00,0.4
1/1/2008 0:00,5.36
