Date,Sagemont,Bammel
1/1/00 0:00,2.08,1.64
2/1/00 0:00,1.48,1
3/1/00 0:00,1.47,0.96
4/1/00 0:00,4.88,3.64
5/1/00 0:00,5.15,7.16
6/1/00 0:00,3.35,2.48
7/1/00 0:00,3.24,0.56
8/1/00 0:00,3.4,0.32
9/1/00 0:00,4.36,2.79
10/1/00 0:00,5.2,3.72
11/1/00 0:00,10.08,12.16
12/1/00 0:00,1.8,2.48
1/1/01 0:00,3.28,5.48
2/1/01 0:00,0.48,0.76
3/1/01 0:00,5.72,7.95
4/1/01 0:00,1.44,2.12
5/1/01 0:00,1.64,3.32
6/1/01 0:00,18.62,20.78
7/1/01 0:00,3.36,1.12
8/1/01 0:00,10.96,6.76
9/1/01 0:00,5.04,2.87
10/1/01 0:00,4.4,6.68
11/1/01 0:00,3.75,1.76
12/1/01 0:00,5.6,6.48
1/1/02 0:00,2.16,0.84
2/1/02 0:00,0.72,0.72
3/1/02 0:00,3.31,2.6
4/1/02 0:00,4.68,3.56
5/1/02 0:00,5.19,1.75
6/1/02 0:00,6.48,3.55
7/1/02 0:00,8,5.68
8/1/02 0:00,10.73,0.99
9/1/02 0:00,4.31,4.52
10/1/02 0:00,14.76,13.88
11/1/02 0:00,3.63,5.64
12/1/02 0:00,6.76,6.32
1/1/03 0:00,1.44,2.16
2/1/03 0:00,3.28,4
3/1/03 0:00,1.44,1.44
4/1/03 0:00,1.04,2.16
5/1/03 0:00,0,0
6/1/03 0:00,7.56,3.64
7/1/03 0:00,3.32,8.88
8/1/03 0:00,7.99,4.92
9/1/03 0:00,8.04,8.16
10/1/03 0:00,4.76,6.48
11/1/03 0:00,5.64,9.32
12/1/03 0:00,0,0
1/1/04 0:00,4.84,6.88
2/1/04 0:00,6.88,4.6
3/1/04 0:00,1.08,1.8
4/1/04 0:00,3.88,5.24
5/1/04 0:00,7.76,7.36
6/1/04 0:00,7.52,10.76
7/1/04 0:00,4.36,4.44
8/1/04 0:00,3.48,2
9/1/04 0:00,0.8,1.4
10/1/04 0:00,3.88,1.98
11/1/04 0:00,13.48,15.25
12/1/04 0:00,2.52,1.68
1/1/05 0:00,2.28,3.96
2/1/05 0:00,3.88,7.56
3/1/05 0:00,3.48,3.72
4/1/05 0:00,0.96,1.56
5/1/05 0:00,2.6,3
6/1/05 0:00,0.52,0.08
7/1/05 0:00,7.6,12.88
8/1/05 0:00,2.12,2.4
9/1/05 0:00,3.28,2.2
10/1/05 0:00,1.64,1.84
11/1/05 0:00,3.32,1.89
12/1/05 0:00,2.76,6.72
1/1/06 0:00,2.28,2.6
2/1/06 0:00,1.72,2.64
3/1/06 0:00,1.27,2.36
4/1/06 0:00,1.08,2.88
5/1/06 0:00,9.04,9.44
6/1/06 0:00,11.28,10.11
7/1/06 0:00,11.84,10.68
8/1/06 0:00,4.04,2.28
9/1/06 0:00,3.44,2.76
10/1/06 0:00,16.99,14.52
11/1/06 0:00,0.88,1.88
12/1/06 0:00,2.6,3.48
1/1/07 0:00,6.19,6.64
2/1/07 0:00,0.92,1.12
3/1/07 0:00,7.76,7.6
4/1/07 0:00,2.89,4.91
5/1/07 0:00,8.32,8.6
6/1/07 0:00,6.98,8.16
7/1/07 0:00,10.94,8.44
8/1/07 0:00,10.67,6.08
9/1/07 0:00,6.68,3.92
10/1/07 0:00,2.6,7.56
11/1/07 0:00,5.36,5.32
12/1/07 0:00,1.72,1.72
1/1/08 0:00,6.72,4.64
2/1/08 0:00,3,4.12
3/1/08 0:00,2.48,2.76
4/1/08 0:00,2.63,3.48
5/1/08 0:00,0.96,5.6
6/1/08 0:00,4.35,4.31
