address,agent,city,days,neighborhood,office,price,state,zip,datetime
10919 Sagecanyon Drive,Nusrat Ghafoor,Houston,3,sagemont,Walzel Properties,224500,TX,77089,2019-07-09 00:28:06.031865
11010 Sagepark Lane,Amanda Escamilla,Houston,5,sagemont,JLA Realty,175000,TX,77089,2019-07-09 00:28:06.031865
11323 Sagevale Lane,Sonal Shah,Houston,9,sagemont,REALM Real Estate Professionals - Sugar Land,199990,TX,77089,2019-07-09 00:28:06.031865
11026 Sagemeadow Lane,Robert Roland,Houston,10,sagemont,Realty Associates,220000,TX,77089,2019-07-09 00:28:06.031865
11118 Sagedowne Lane,Sebastian Ponce,Houston,5,sagemont,Ponce Realty & Investments,199900,TX,77089,2019-07-09 00:28:06.031865
18922 Picnic Pavilion Court,Richard Hale,Cypress,18,sagemont,Perry Development Management,424900,TX,77433,2019-07-09 00:28:06.031865
10339 Sagerock Drive,Rebecca Casey,Houston,18,sagemont,"Casey Castles, LLC",148900,TX,77089,2019-07-09 00:28:06.031865
10818 Sageleaf Lane,Mark Benoit,Houston,19,sagemont,RE/MAX 1st Source,169900,TX,77089,2019-07-09 00:28:06.031865
10402 Sagedowne Lane,Davian Walker,Houston,5,sagemont,Houston's Choice Realty,199000,TX,77089,2019-07-09 00:28:06.031865
10910 Sagetrail Drive,Yesenia Guerra,Houston,30,sagemont,CJM Realty Advisors,204999,TX,77089,2019-07-09 00:28:06.031865
11602 Sagedowne Lane,Yaneth Zaragosa,Houston,34,sagemont,Strada,195000,TX,77089,2019-07-09 00:28:06.031865
10835 Sageburrow Drive,Jane NgaDung Nguyen,Houston,34,sagemont,"Alpha, REALTORS",225990,TX,77089,2019-07-09 00:28:06.031865
6106 Great Oaks Drive,Marisa Lopez,Houston,15,riverwood estates,Near Town Properties,144700,TX,77050,2019-07-09 00:28:06.031865
21807 Forest Glade Drive,Jodi Manfred,Humble,24,forest shadows,JLA Realty,199000,TX,77338,2019-07-09 00:28:06.031865
4706 Broadmark Lane,Cellina Stokes,Humble,66,forest shadows,Crowne Realty,171500,TX,77338,2019-07-09 00:28:06.031865
4602 Fieldwick Lane,Michael Thiltgen,Humble,80,forest shadows,Greenbriar Real Estate Service,189900,TX,77338,2019-07-09 00:28:06.031865
21802 Pine Cone Drive,Katherine Ware,Humble,81,forest shadows,"Irie Properties, LLC",239900,TX,77338,2019-07-09 00:28:06.031865
4503 Clairfield Lane,Rick Raymor,Humble,122,forest shadows,RE/MAX Universal,259500,TX,77338,2019-07-09 00:28:06.031865
15202 Claypool Street,Rosa Gonzalez,Houston,111,aldine estates,REALM Real Estate Professionals - North Houston,650000,TX,77032,2019-07-09 00:28:06.031865
2418 Toyah Avenue,Paula Plata,Houston,15,castlewood,Keller Williams Memorial,175000,TX,77039,2019-07-09 00:28:06.031865
2517 Woodgate Street,Gina Lopez,Houston,109,castlewood,Loft Realty,200000,TX,77039,2019-07-09 00:28:06.031865
2802 Rosebury Drive,Esmeralda Herrera,Houston,131,castlewood,Century 21 Hardee-Team Realty,159000,TX,77039,2019-07-09 00:28:06.031865
2615 Balmorhea Avenue,Mary Villarreal,Houston,169,castlewood,Ability Real Estate,125000,TX,77039,2019-07-09 00:28:06.031865
906 Lynwood Road,Rania Hanania,Spring,17,lynwood estates,JLA Realty,255000,TX,77373,2019-07-09 00:28:06.031865
1311 Lynwood Road,Gidget Sauceda,Spring,4,lynwood estates,RE/MAX Universal,189900,TX,77373,2019-07-09 00:28:06.031865
14301 Lee Road,Maria Salazar,Houston,164,parkwood estates 77032,"Nautilus Real Estate, Ltd",184900,TX,77032,2019-07-09 00:28:06.031865
13200 Huffmeister Road,Amjad Mushtaq,Cypress,20,lake cypress estates u_r,Fast Homes,199000,TX,77429,2019-07-09 00:28:06.031865
0 Maxwell Road,Kristi Grimes,Cypress,84,lake cypress estates u_r,eXp Realty LLC,100000,TX,77429,2019-07-09 00:28:06.031865
13026 Maxwell Road,Ryan Jockers,Cypress,244,lake cypress estates u_r,Better Homes and Gardens Real Estate Gary Greene - Champions,384990,TX,77429,2019-07-09 00:28:06.031865
16314 Waycreek Road,Arlene Simmons,Houston,3,bammel forest,RE/MAX Integrity,219000,TX,77068,2019-07-09 00:28:06.031865
