address,agent,city,days,neighborhood,office,price,state,zip,datetime,region
10919 Sagecanyon Drive,Nusrat Ghafoor,Houston,1,sagemont,Walzel Properties,224500,TX,77089,49:57.4,Southeast
11010 Sagepark Lane,Amanda Escamilla,Houston,8,sagemont,JLA Realty,175000,TX,77089,49:57.4,Southeast
11323 Sagevale Lane,Sonal Shah,Houston,12,sagemont,REALM Real Estate Professionals - Sugar Land,199990,TX,77089,49:57.4,Southeast
11026 Sagemeadow Lane,Robert Roland,Houston,13,sagemont,Realty Associates,220000,TX,77089,49:57.4,Southeast
11118 Sagedowne Lane,Sebastian Ponce,Houston,5,sagemont,Ponce Realty & Investments,199900,TX,77089,49:57.4,Southeast
18922 Picnic Pavilion Court,Richard Hale,Cypress,21,sagemont,Perry Development Management,424900,TX,77433,49:57.4,Northwest
10339 Sagerock Drive,Rebecca Casey,Houston,21,sagemont,"Casey Castles, LLC",148900,TX,77089,49:57.4,Southeast
10818 Sageleaf Lane,Mark Benoit,Houston,22,sagemont,RE/MAX 1st Source,169900,TX,77089,49:57.4,Southeast
10402 Sagedowne Lane,Davian Walker,Houston,5,sagemont,Houston's Choice Realty,199000,TX,77089,49:57.4,Southeast
10910 Sagetrail Drive,Yesenia Guerra,Houston,33,sagemont,CJM Realty Advisors,204999,TX,77089,49:57.4,Southeast
11602 Sagedowne Lane,Yaneth Zaragosa,Houston,37,sagemont,Strada,195000,TX,77089,49:57.4,Southeast
6106 Great Oaks Drive,Marisa Lopez,Houston,15,riverwood estates,Near Town Properties,144700,TX,77050,49:57.4,Northeast
21807 Forest Glade Drive,Jodi Manfred,Humble,27,forest shadows,JLA Realty,199000,TX,77338,49:57.4,Northeast
4706 Broadmark Lane,Cellina Stokes,Humble,66,forest shadows,Crowne Realty,171500,TX,77338,49:57.4,Northeast
4602 Fieldwick Lane,Michael Thiltgen,Humble,83,forest shadows,Greenbriar Real Estate Service,189900,TX,77338,49:57.4,Northeast
21802 Pine Cone Drive,Katherine Ware,Humble,84,forest shadows,"Irie Properties, LLC",239900,TX,77338,49:57.4,Northeast
4503 Clairfield Lane,Rick Raymor,Humble,125,forest shadows,RE/MAX Universal,259500,TX,77338,49:57.4,Northeast
15202 Claypool Street,Rosa Gonzalez,Houston,114,aldine estates,REALM Real Estate Professionals - North Houston,650000,TX,77032,49:57.4,Northeast
2418 Toyah Avenue,Paula Plata,Houston,15,castlewood,Keller Williams Memorial,175000,TX,77039,49:57.4,Northeast
2517 Woodgate Street,Gina Lopez,Houston,112,castlewood,Loft Realty,200000,TX,77039,49:57.4,Northeast
2802 Rosebury Drive,Esmeralda Herrera,Houston,134,castlewood,Century 21 Hardee-Team Realty,159000,TX,77039,49:57.4,Northeast
2615 Balmorhea Avenue,Mary Villarreal,Houston,172,castlewood,Ability Real Estate,125000,TX,77039,49:57.4,Northeast
906 Lynwood Road,Rania Hanania,Spring,17,lynwood estates,JLA Realty,255000,TX,77373,49:57.4,Northwest
14301 Lee Road,Maria Salazar,Houston,167,parkwood estates 77032,"Nautilus Real Estate, Ltd",184900,TX,77032,49:57.4,Northeast
